HubPrices,NodePrices,WindPower
23.19,23.77715320991729,18.21
25.22,25.83033253608365,24.6
24.25,24.867062017873884,10.13
24.37,24.985566577476057,5.56
23.56,24.18678238045978,7.89
23.39,24.00033253608365,15.91
23.67,24.264630411906438,8.08
23.86,24.458369012901013,5.28
24.28,24.879116733099927,10.41
25.11,25.703882691707523,11.94
25.81,26.403134971508607,17.57
25.87,26.460891810911864,27.54
26.4,26.987153209917288,34.17
26.25,26.8326668887238,44.3
25.69,26.25846020494442,16.16
25.15,25.725937406933564,3.69
24.97,25.54967600792814,5.09
26.31,26.88668512713248,3.88
30.78,31.342478443353098,0.5
27.92,28.50416232912163,6.12
28.92,29.497432847331396,3.04
26.99,27.573414608922715,0.58
25.17,25.760891810911865,4.16
25.01,25.588180567530312,7.14
23.64,24.21967600792814,0.35
24.33,24.864065075794333,5.47
22.99,23.574910049320543,0.44
22.62,23.20715320991729,0.0
22.91,23.496405489718374,0.0
24.06,24.634441966535736,12.07
39.42,38.653779649881365,7.89
25.1,25.675937406933567,0.89
25.1,25.68416232912163,13.35
26.78,27.361919168524885,0.12
27.22,27.806405489718372,0.0
28.11,28.699396370514034,0.24
27.9,28.493134971508606,0.0
27.17,27.76612585230427,0.0
26.87,27.464630411906438,0.0
26.9,27.493882691707523,0.0
26.95,27.542387251309695,0.0
27.51,28.10163953111078,0.0
28.13,28.755286940061946,0.0
28.09,28.725755022846755,0.0
27.17,27.790052898669547,10.69
28.19,28.92445408910352,5.47
25.34,25.956314297674968,0.0
24.88,25.497062017873883,0.0
22.81,23.430800618868457,0.0
26.06,26.9342777663006,0.27
22.28,22.89930517847063,4.07
22.38,22.999305178470628,0.19
22.88,23.469396370514033,17.44
23.02,23.6378097380728,11.82
23.84,24.44435077449233,0.49
24.37,24.959396370514035,3.6
25.3,25.9327641420511,1.55
26.47,27.10201642185218,0.54
26.0,26.58864865031512,13.86
25.14,25.732387251309696,11.18
24.01,24.603882691707526,17.44
23.59,24.16818056753031,12.46
23.74,24.35033253608365,19.61
22.93,23.535098494691248,17.44
23.09,23.65846020494442,24.21
26.28,26.58451497472747,30.12
26.67,26.86160922469132,48.37
30.75,30.048083586988046,76.04
29.71,29.275019698000655,184.89
25.14,24.897931509320692,198.6
20.99,21.08066699783781,198.6
