HubPrices,NodePrices,WindPower
23.19,23.898886906819378,18.21
25.22,25.952783929453062,24.6
24.25,24.99097719435604,10.13
24.37,25.108246106055052,5.56
23.56,24.30985323133427,7.89
23.39,24.122101157377816,15.91
23.67,24.38571462757186,8.08
23.86,24.577080171722354,5.28
24.28,24.999128487948102,10.41
25.11,25.822300767195618,11.94
25.81,26.52161799512037,17.57
25.87,26.580252450969876,27.54
26.4,27.106838590593632,34.17
26.25,26.953424730217392,44.3
25.69,26.380452060787675,16.16
25.15,25.847962553615403,3.69
24.97,25.670693641916397,5.09
26.31,27.004548693239165,3.88
30.78,31.458162163433208,0.5
27.92,28.618645325690657,6.12
28.92,29.612500377013422,3.04
26.99,27.6893280977659,0.58
25.17,25.877521362668883,4.16
25.01,25.705914237389663,7.14
23.64,24.337962553615405,0.35
24.33,24.92622951440342,5.47
22.99,23.69342473021739,0.44
22.62,23.326155818518387,0.0
22.91,23.614790274367888,0.0
24.06,24.753865921163914,12.07
39.42,36.95877616144195,7.89
25.1,25.792500377013422,0.89
25.1,25.802741958142146,13.35
26.78,27.477279781540158,0.12
27.22,27.920693641916397,0.0
28.11,28.81410750229264,0.24
27.9,28.606838590593632,0.0
27.17,27.880252450969877,0.0
26.87,27.579569678894625,0.0
26.9,27.609569678894623,0.0
26.95,27.65752136266888,0.0
27.51,28.216155818518388,0.0
28.13,28.87234273850654,0.0
28.09,28.844632635861007,0.0
27.17,27.909611650205548,10.69
28.19,29.05182785167498,5.47
25.34,26.076880561904552,0.0
24.88,25.617563333979803,0.0
22.81,23.550977194356044,0.0
26.06,27.073403252380075,0.27
22.28,23.0189288781303,4.07
22.38,23.120294422280793,0.19
22.88,23.588204134744128,17.44
23.02,23.7589288781303,11.82
23.84,24.563907892474838,0.49
24.37,25.07820413474413,3.6
25.3,26.053267091710513,1.55
26.47,27.222584319635263,0.54
26.0,26.70410750229264,13.86
25.14,25.848886906819377,11.18
24.01,24.722983539270867,17.44
23.59,24.2906936419164,12.46
23.74,24.476197789829303,19.61
22.93,23.659370069076825,17.44
23.09,23.781134832862925,24.21
26.28,26.461786864727763,30.12
26.67,26.64012752140082,48.37
30.75,28.94150626537924,76.04
29.71,28.455234418405535,184.89
25.14,24.27919390582375,198.6
20.99,21.30902405185265,198.6
19.83,19.692932305586847,198.6
23.32,21.48556092651981,198.6
22.61,21.504761502884893,198.6
20.69,20.619161196885926,198.6
22.11,21.59945598042608,198.32
35.57,32.03341014292603,197.97
