HubPrices,NodePrices,WindPower
23.19,23.00970654131644,18.21
25.22,25.023660156857023,24.6
24.25,24.060449011820623,10.13
24.37,24.181066180453676,5.56
23.56,23.368597505921457,7.89
23.39,23.20970654131644,15.91
23.67,23.497112564913092,8.08
23.86,23.682175215848655,5.28
24.28,24.100323709949492,10.41
25.11,24.92723786678422,11.94
25.81,25.622300517719783,17.57
25.87,25.683534854985894,27.54
26.4,26.21847220405033,34.17
26.25,26.06415202361895,44.3
25.69,25.51094087858255,16.16
25.15,24.970940878582546,3.69
24.97,24.79587822764698,5.09
26.31,26.12908937268338,3.88
30.78,30.5799571450587,0.5
27.92,27.713785458728157,6.12
28.92,28.70884810966372,3.04
26.99,26.78625413326037,0.58
25.17,24.96872280779259,4.16
25.01,24.835261059013927,7.14
23.64,23.470815576711416,0.35
24.33,24.141066180453674,5.47
22.99,22.82266708261058,0.44
22.62,22.453284251243634,0.0
22.91,22.74575292577585,0.0
24.06,23.89575292577585,12.07
39.42,38.46577707546627,7.89
25.1,24.917855035417276,0.89
25.1,24.914769192252002,13.35
26.78,26.58551166275619,0.12
27.22,27.008230941030664,0.0
28.11,27.889590580167905,0.24
27.9,27.67773907426874,0.0
27.17,26.952059254700124,0.0
26.87,26.653910760599285,0.0
26.9,26.68452792923234,0.0
26.95,26.733910760599283,0.0
27.51,27.31304298822397,0.0
28.13,27.894161364341546,0.0
28.09,27.85354419570849,0.0
27.17,26.93045835254322,10.69
28.19,27.868992092980044,5.47
25.34,25.125762266498448,0.0
24.88,24.660824917434013,0.0
22.81,22.602551121462046,0.0
26.06,25.640245111691343,0.27
22.28,22.0867460000223,4.07
22.38,22.188597505921457,0.19
22.88,22.67193395282899,17.44
23.02,22.816254133260372,11.82
23.84,23.651066180453675,0.49
24.37,24.19094087858255,3.6
25.3,25.07218455657125,1.55
26.47,26.235395701607654,0.54
26.0,25.79872280779259,13.86
25.14,24.926996603764557,11.18
24.01,23.81736316865535,17.44
23.59,23.41032370994949,12.46
23.74,23.532551121462046,19.61
22.93,22.74600352951811,17.44
23.09,22.926370094408906,24.21
26.28,26.03922401527711,30.12
26.67,26.41194329355159,48.37
30.75,30.177804459326918,76.04
29.71,29.247660476010594,184.89
25.14,24.794922516290924,198.6
20.99,20.89240713814572,198.6
19.83,19.679330635703046,198.6
23.32,22.840379754285074,198.6
22.61,22.321702030531924,198.6
20.69,20.51958123944531,198.6
22.11,21.90872280779259,198.32
35.57,34.81080236351145,197.97
23.03,22.892908345630243,160.3
24.37,24.209455937574177,153.96
25.08,24.931182141602207,197.8
25.8,25.66414268289635,196.85
27.67,27.72052761007877,103.65
25.28,25.183024306778776,74.43
31.36,31.232783043759113,51.09
29.0,28.843776118005557,22.68
27.65,27.473409553114763,10.97
