HubPrices,NodePrices,WindPower
23.19,23.744409034731326,18.21
25.22,25.79290027462947,24.6
24.25,24.829240128308836,10.13
24.37,24.94712684374905,5.56
23.56,24.14610830312815,7.89
23.39,23.962371953489527,15.91
23.67,24.2296922461308,8.08
23.86,24.42074888841069,5.28
24.28,24.84233385183053,10.41
25.11,25.66705064043106,11.94
25.81,26.366522319291114,17.57
25.87,26.42546567701122,27.54
26.4,26.952824071311483,34.17
26.25,26.800182465611748,44.3
25.69,26.230144363952757,16.16
25.15,25.695955896492173,3.69
24.97,25.51806918105196,5.09
26.31,26.853314290792436,3.88
30.78,31.31063458343371,0.5
27.92,28.46648421763212,6.12
28.92,29.4617293273726,3.04
26.99,27.537012538772064,0.58
25.17,25.72335239245143,4.16
25.01,25.554370933072335,7.14
23.64,24.185955896492175,0.35
24.33,24.79723604664006,5.47
22.99,23.540182465611746,0.44
22.62,23.17229575017154,0.0
22.91,23.461239107891643,0.0
24.06,24.60278596965249,12.07
39.42,37.52141398195711,7.89
25.1,25.641729327372598,0.89
25.1,25.649654144471803,13.35
26.78,27.325427575352226,0.12
27.22,27.76806918105196,0.0
28.11,28.660710786751697,0.24
27.9,28.452824071311483,0.0
27.17,27.725465677011222,0.0
26.87,27.424937355871272,0.0
26.9,27.454937355871273,0.0
26.95,27.50335239245143,0.0
27.51,28.06229575017154,0.0
28.13,28.71029677058873,0.0
28.09,28.679806551107777,0.0
27.17,27.748183486028946,10.69
28.19,28.86275297007947,5.47
25.34,25.916070201469154,0.0
24.88,25.456598522609102,0.0
22.81,23.389240128308835,0.0
26.06,26.850040263147715,0.27
22.28,22.857655164888996,4.07
22.38,22.95871180716889,0.19
22.88,23.43388071359138,17.44
23.02,23.597655164888995,11.82
23.84,24.40603209981016,0.49
24.37,24.92388071359138,3.6
25.3,25.888749908827887,1.55
26.47,27.058221587687935,0.54
26.0,26.550710786751697,13.86
25.14,25.694409034731326,11.18
24.01,24.56757896157101,17.44
23.59,24.13806918105196,12.46
23.74,24.315541880329206,19.61
22.93,23.50025866892974,17.44
23.09,23.6306726850927,24.21
26.28,26.426545114692193,30.12
26.67,26.652765561308605,48.37
30.75,29.356488991746502,76.04
29.71,28.74495743624357,184.89
25.14,24.479798733993025,198.6
20.99,21.24273766382155,198.6
19.83,19.72981914233691,198.6
23.32,21.906412788428515,198.6
22.61,21.760659765891976,198.6
20.69,20.64106629291178,198.6
22.11,21.720827478785868,198.32
35.57,32.839308186540485,197.97
23.03,23.00801067104908,160.3
24.37,24.291480309074743,153.96
25.08,25.11506935416336,197.8
25.8,25.881561614478706,196.85
27.67,28.19323808747445,103.65
25.28,25.81221954685355,74.43
31.36,31.886936335454077,51.09
29.0,29.549125823331856,22.68
27.65,28.202824071311483,10.97
26.64,27.192824071311485,2.01
26.61,27.1596541444718,0.4
26.21,26.759125823331857,0.25
26.28,26.834409034731326,0.08
44.63,45.13369020529641,0.35
29.88,30.408521298873918,14.37
30.6,31.111615022395615,68.88
28.59,29.09316188415646,83.75
36.93,34.46082715081428,17.57
26.5,26.637035334173145,37.3
26.38,26.44412701686045,49.36
25.75,25.95096219210674,90.81
25.09,25.41141941201467,99.8
25.99,26.036692419242197,72.83
26.25,26.20846278887104,52.32
26.04,26.430101160207787,76.36
