HubPrices,NodePrices,WindPower
23.19,24.166770382701234,18.21
25.22,26.224413986918613,24.6
24.25,25.264170553112987,10.13
24.37,25.381731411564395,5.56
23.56,24.58474016649022,7.89
23.39,24.39522703410148,15.91
23.67,24.65571390171274,8.08
23.86,24.84815304326133,5.28
24.28,25.270592184809924,10.41
25.11,26.093274760164146,11.94
25.81,26.792461712981282,17.57
25.87,26.850835618615555,27.54
26.4,27.377583429884094,34.17
26.25,27.22270514678691,44.3
25.69,26.647257250312492,16.16
25.15,26.116200769323996,3.69
24.97,25.939452958055455,5.09
26.31,27.27294858059254,3.88
30.78,31.72506154256953,0.5
27.92,28.889452958055458,6.12
28.92,29.881322486226814,3.04
26.99,27.959452958055454,0.58
25.17,26.149209524249827,4.16
25.01,25.973761627775406,7.14
23.64,24.606200769323998,0.35
24.33,25.144973993311257,5.47
22.99,23.961892099604047,0.44
22.62,23.595144288335504,0.0
22.91,23.883518193969778,0.0
24.06,25.02132248622681,12.07
39.42,35.677844533357444,7.89
25.1,26.059696391861085,0.89
25.1,26.072705146786912,13.35
26.78,27.746200769324,0.12
27.22,28.19107905242118,0.0
28.11,29.085144288335503,0.24
27.9,28.879209524249823,0.0
27.17,28.153274760164148,0.0
26.87,27.851648665798418,0.0
26.9,27.880835618615553,0.0
26.95,27.929209524249824,0.0
27.51,28.487583429884097,0.0
28.13,29.14904883621017,0.0
28.09,29.122057591136,0.0
27.17,28.18417055311299,10.69
28.19,29.3423885741999,5.47
25.34,26.350105317198665,0.0
24.88,25.890918364381527,0.0
22.81,23.824983600295848,0.0
26.06,27.383941529784245,0.27
22.28,23.29335750593012,4.07
22.38,23.394170553112986,0.19
22.88,23.85839647706696,17.44
23.02,24.031731411564394,11.82
23.84,24.835470467907108,0.49
24.37,25.347583429884097,3.6
25.3,26.329618449587407,1.55
26.47,27.49880540240454,0.54
26.0,26.97433124115264,13.86
25.14,26.12002257143269,11.18
24.01,24.99408780734701,17.44
23.59,24.557826863689726,12.46
23.74,24.748479222832934,19.61
22.93,23.930348751004296,17.44
23.09,24.046444203129628,24.21
26.28,26.505514785734718,30.12
26.67,26.58980904497778,48.37
30.75,28.10301908867551,76.04
29.71,27.859805327882423,184.89
25.14,23.85731226152163,198.6
20.99,21.43910276102237,198.6
19.83,19.59207789150212,198.6
23.32,20.62423625770366,198.6
22.61,21.014289096118915,198.6
20.69,20.54395222316578,198.6
22.11,21.337092845177484,198.32
35.57,30.431842520379615,197.97
23.03,22.940052478783407,160.3
24.37,24.175982439376792,153.96
25.08,25.09737470692148,197.8
25.8,25.906809897036542,196.85
27.67,28.593109268632197,103.65
25.28,26.22099630665521,74.43
31.36,32.29367888200943,51.09
29.0,29.969452958055456,22.68
27.65,28.625144288335502,10.97
26.64,27.61595733551837,2.01
26.61,27.58107905242118,0.4
26.21,27.179452958055457,0.25
26.28,27.259209524249826,0.08
44.63,45.53359613624346,0.35
29.88,30.819370212289478,14.37
30.6,31.51253965525496,68.88
28.59,29.48709175878054,83.75
36.93,32.279670830098134,17.57
26.5,26.707627747711705,37.3
26.38,26.452661915356245,49.36
25.75,26.07714568359274,90.81
25.09,25.642359753246122,99.8
25.99,26.03095307522454,72.83
26.25,26.12753059146884,52.32
26.04,26.72407339687012,76.36
21.99,22.909044032717873,190.85
28.6,29.484083003854714,196.94
24.15,25.033269956671848,155.98
24.18,25.014487125699997,131.81
22.57,23.46465261723195,198.6
21.54,22.435465664414814,198.6
20.28,21.212052787643703,198.6
19.94,20.876118023558025,198.6
20.27,21.19961364609511,198.6
19.75,20.688557165106616,198.6
19.63,20.582378967215305,197.77
23.1,24.045874589752394,198.6
24.65,25.584491929192293,198.6
24.53,25.450670127083605,198.6
24.37,25.290670127083605,198.6
24.69,25.63506154256953,193.9
23.73,24.688070297495358,144.43
21.94,22.923274760164148,112.18
20.9,21.87595733551837,97.87
22.55,23.512948580592543,142.33
22.54,23.480996306655207,128.31
44.41,34.06590140850017,118.84
21.84,21.618338835159406,127.61
23.55,23.525096253412546,126.56
23.56,23.55054414988696,196.15
26.37,27.311809353838072,194.03
24.67,25.58985707990074,145.48
24.5,25.477583429884096,88.88
22.29,23.29197484537002,94.66
23.65,24.664170553112985,106.22
25.12,26.145553213673086,28.83
24.94,25.982627204513236,18.85
23.68,24.719375015781775,14.88
23.63,24.65880540240454,5.37
23.81,24.833927119307354,6.03
24.13,25.151487977758762,0.59
27.25,28.26660969466158,0.25
27.44,28.49563595943906,9.57
26.9,27.898722656638565,5.0
26.97,27.950835618615553,0.0
23.71,24.691648665798418,0.18
21.93,22.897826863689726,26.8
20.56,21.519696391861082,14.88
41.88,32.07657778510486,155.69
23.45,22.3201651319001,180.49
21.19,20.765890086626225,187.28
23.56,22.276499214338767,198.48
16.41,15.163086337567657,197.4
25.65,24.27055964676079,198.6
32.38,32.23313917598291,198.6
20.71,21.576195965831705,198.6
21.01,21.885139484843208,198.6
14.11,15.039613646095109,198.6
8.09,7.566698330316791,198.6
23.4,23.114921154896,198.6
22.62,22.538995997794913,194.03
