HubPrices,NodePrices,WindPower
23.19,23.50506084747528,18.21
25.22,25.545681746423583,24.6
24.25,24.579323197491576,10.13
24.37,24.698109380468914,5.56
23.56,23.89326810281523,7.89
23.39,23.71537829216792,15.91
23.67,23.98809539003194,8.08
23.86,24.178702298543268,5.28
24.28,24.599612661310267,10.41
25.11,25.426578118753607,11.94
25.81,26.12627466449794,17.57
25.87,26.18566775598661,27.54
26.4,26.71415048470828,34.17
26.25,26.56263321342995,44.3
25.69,25.996867582572303,16.16
25.15,25.460205579384624,3.69
24.97,25.281419396407287,5.09
26.31,26.618688308106293,3.88
30.78,31.081405405970315,0.5
27.92,28.230509033640292,6.12
28.92,29.227777945339298,3.04
26.99,27.300812487895957,0.58
25.17,25.48445393896395,4.16
25.01,25.31929521661763,7.14
23.64,23.950205579384626,0.35
24.33,24.594990895290408,5.47
22.99,23.30263321342995,0.44
22.62,22.933847030452615,0.0
22.91,23.223240121941284,0.0
24.06,24.36838485385063,12.07
39.42,38.32612273841865,7.89
25.1,25.407777945339298,0.89
25.1,25.412329759174288,13.35
26.78,27.089902125128962,0.12
27.22,27.531419396407287,0.0
28.11,28.42293666768562,0.24
27.9,28.21415048470828,0.0
27.17,27.48566775598661,0.0
26.87,27.185364301730946,0.0
26.9,27.215364301730943,0.0
26.95,27.264453938963946,0.0
27.51,27.823847030452615,0.0
28.13,28.459930106002904,0.0
28.09,28.425392282604893,0.0
27.17,27.498716288980244,10.69
28.19,28.573034600744435,5.47
25.34,25.66750247195758,0.0
24.88,25.207805926213243,0.0
22.81,23.139323197491574,0.0
26.06,26.510401445502257,0.27
22.28,22.60841283472458,4.07
22.38,22.709019743235906,0.19
22.88,23.19475739321961,17.44
23.02,23.348412834724577,11.82
23.84,24.161736841099927,0.49
24.37,24.684757393219613,3.6
25.3,25.63478537409356,1.55
26.47,26.804481919837894,0.54
26.0,26.31293666768562,13.86
25.14,25.45506084747528,11.18
24.01,24.326881573009274,17.44
23.59,23.901419396407288,12.46
23.74,24.067199017701913,19.61
22.93,23.254164475145256,17.44
23.09,23.397171036827967,24.21
26.28,26.36079416210123,30.12
26.67,26.65672334284481,48.37
30.75,29.946225006835217,76.04
29.71,29.15232640818024,184.89
25.14,24.757419513699446,198.6
20.99,21.131788467490065,198.6
19.83,19.769081024705265,198.6
23.32,22.504693745119916,198.6
22.61,22.11878289017106,198.6
20.69,20.658516087504857,198.6
22.11,21.883091546856036,198.32
35.57,33.9981822857449,197.97
23.03,23.013992254543815,160.3
24.37,24.321522649187568,153.96
25.08,25.09676531415573,197.8
25.8,25.843469288654326,196.85
27.67,27.967157046390994,103.65
25.28,25.582315768737313,74.43
31.36,31.659281226180653,51.09
29.0,29.31202630491862,22.68
27.65,27.96415048470828,10.97
26.64,26.954150484708283,2.01
26.61,26.922329759174286,0.4
26.21,26.522026304918622,0.25
26.28,26.59506084747528,0.08
44.63,44.915929238931355,0.35
29.88,30.18019158894765,14.37
30.6,30.890481052766344,68.88
28.59,28.87562578467569,83.75
36.93,35.508392142299506,17.57
26.5,26.575331985499243,37.3
26.38,26.41345529821735,49.36
25.75,25.862049950434812,90.81
25.09,25.27123752072663,99.8
25.99,26.013441307780376,72.83
26.25,26.222764447084177,52.32
26.04,26.26068657396319,76.36
21.99,22.285639775112664,190.85
28.6,28.882287787863365,196.94
24.15,24.431984333607698,155.98
24.18,24.443170169756414,131.81
22.57,22.856839601698354,198.6
21.54,21.827446510209683,198.6
20.28,20.580495043203317,198.6
19.94,20.242619222992978,198.6
20.27,20.570798497458984,198.6
19.75,20.053833040015643,198.6
19.63,19.93899176236196,197.77
23.1,23.406867582572303,198.6
24.65,24.951405405970313,198.6
24.53,24.82685359213533,198.6
24.37,24.667157046390994,198.6
24.69,24.995653765549637,193.9
23.73,24.039598670873293,144.43
21.94,22.25809539003194,112.18
20.9,21.21475739321961,97.87
22.55,22.860205579384626,142.33
22.54,22.842619222992976,128.31
44.41,41.250813074356735,118.84
21.84,21.786363926841247,127.61
23.55,23.55705477797442,126.56
23.56,23.572820408832072,196.15
26.37,26.675350311293972,194.03
24.67,24.965336320857,145.48
24.5,24.816578118753608,88.88
22.29,22.615378292167918,94.66
23.65,23.97901974323591,106.22
25.12,25.4526611943039,28.83
24.94,25.278426825161553,18.85
23.68,24.01721300813889,14.88
23.63,23.96326810281523,5.37
23.81,24.141447377281235,6.03
24.13,24.460537014514237,0.59
27.25,27.578412834724578,0.25
27.44,27.783889001763537,9.57
26.9,27.221736841099926,5.0
26.97,27.28506084747528,0.0
23.71,24.026274664497944,0.18
21.93,22.241115942151623,26.8
20.56,20.86838485385063,14.88
41.88,38.87436092772367,155.69
23.45,23.116579103117314,180.49
21.19,21.07385235017408,187.28
23.56,23.178026422210774,198.48
16.41,16.047447494573394,197.4
25.65,25.21492192746925,198.6
32.38,32.346695361970866,198.6
20.71,20.98834288253971,198.6
21.01,21.291377425096368,198.6
14.11,14.41535031129397,198.6
8.09,7.962624542714441,198.6
23.4,23.329673942779625,198.6
22.62,22.61339933646946,194.03
22.61,22.919295216617627,174.43
23.97,24.282936667685618,106.86
22.26,22.616634080501505,79.25
25.83,26.174495910274867,34.91
625.85,625.8018261034432,17.7
33.88,34.19809539003194,7.89
37.23,37.54475739321961,0.47
30.51,30.861475358155186,0.32
30.1,30.424164475145258,0.28
18.44,18.827282960323757,14.25
26.92,25.73023119362823,54.55
24.57,24.461438706565726,134.97
39.63,37.04919688565589,184.76
31.42,30.030254839144426,174.14
24.94,24.857232318297324,190.85
23.56,23.48846012575696,194.3
28.9,28.754417287374487,196.69
32.42,32.91470576682948,192.18
33.57,32.99381569858462,198.6
25.89,26.08823095904392,198.6
25.16,25.12881954176052,198.6
25.21,25.451321463348474,198.6
25.9,26.21718502726494,193.37
23.13,23.435046857038305,156.84
25.28,25.593240121941285,66.66
23.68,24.000523024077264,39.14
25.22,25.53475739321961,40.07
25.65,25.95899176236196,37.3
24.95,25.179183293121838,62.21
24.54,24.81743251977271,41.91
26.57,26.535784999203862,1.92
59.9,55.80101524455954,184.63
37.32,35.56186137276606,188.47
41.26,38.29350652670456,197.61
31.0,29.66032479132929,197.35
37.56,34.72338494812956,196.8
20.88,20.65127082132204,196.42
20.1,19.89402989049698,193.5
23.51,22.815165084619267,172.99
19.3,19.607777945339297,144.43
22.77,23.08202630491862,114.99
25.43,25.741722850662953,99.8
25.65,25.965364301730943,105.58
26.31,26.628702298543267,170.11
23.57,23.89901974323591,170.11
24.02,24.34659210919058,65.91
24.33,24.660537014514237,25.88
23.81,24.14417846558223,8.45
23.96,24.293571557070898,0.61
24.75,25.104206446456175,0.56
24.49,24.82114392302557,0.0
25.07,25.408730279417217,0.0
30.81,31.148730279417215,0.0
27.65,27.985088828349227,0.0
27.13,27.46205428579257,0.11
27.73,28.056288654934917,0.55
27.59,27.911736841099927,10.04
25.32,25.63566775598661,32.7
23.07,23.366853592135328,124.45
23.13,23.37435600590513,183.43
32.16,30.924106146767016,197.61
31.46,30.158560027543192,196.83
26.21,25.97489828195306,189.53
21.82,22.096218702750047,190.06
40.22,37.58457511963603,186.61
25.36,25.26873559913868,153.67
24.93,24.875150109818584,162.32
24.8,24.742722475773256,184.1
21.75,21.314618473213585,192.31
24.97,24.655696721224263,196.76
21.75,21.83443561316922,196.28
19.81,19.933277757894448,198.6
20.98,20.897839226808657,198.6
20.98,20.949426450271854,198.6
19.13,19.429888134691986,198.06
19.46,19.707087094206123,193.11
21.96,22.195252378235157,198.6
21.01,21.290163608073705,198.6
21.31,21.583184160193387,197.71
20.85,21.136839601698355,198.55
19.69,19.988067409157992,197.97
18.71,19.010798497458985,191.91
24.48,24.017307590203657,195.36
19.83,20.12503286660133,197.61
20.93,21.22806740915799,195.62
21.37,21.668370863413656,198.16
21.11,21.410495043203316,196.85
21.06,21.362619222992976,185.16
21.95,22.248370863413655,151.07
24.04,24.331087961277674,122.0
24.7,24.994729412345666,125.85
24.69,24.990191588947653,133.21
26.56,26.858977771924987,109.43
26.52,26.823833040015643,66.41
28.17,28.479598670873294,47.38
29.82,30.12838485385063,24.47
27.84,28.148081399594965,6.77
28.23,28.537474491083632,0.53
29.31,29.614136494271307,0.16
28.29,28.601722850662952,0.0
28.63,28.94566775598661,0.0
27.82,28.139309207054602,0.0
27.77,28.08506084747528,0.28
26.93,27.242329759174286,8.26
26.02,26.34537829216792,24.34
49.36,46.689374425978784,40.43
23.57,23.64047671740859,91.77
29.1,28.074703400199134,142.33
29.31,28.121445010650895,154.25
36.73,34.23659171128765,151.36
24.08,23.518684957112246,187.94
28.68,27.868942104699236,185.02
21.53,21.82139141553334,187.81
27.44,27.69649417613177,176.45
25.07,25.344094522960386,158.0
24.48,24.693403671827213,167.8
24.51,24.779239254869733,170.4
28.61,28.92415048470828,153.09
26.14,26.447171036827967,149.63
26.13,26.435046857038305,145.13
26.04,26.34535031129397,127.96
26.8,27.112329759174287,59.49
26.41,26.739930106002905,52.82
29.94,30.296027171990172,65.42
35.05,35.421199884773465,95.3
125.25,125.93345431385364,72.34
28.04,28.363861020889587,77.0
27.05,27.37446792940092,73.33
27.55,27.87750247195758,56.28
26.4,26.726895563446245,57.02
25.99,26.31962665174724,41.36
26.85,27.177805926213246,72.34
26.91,27.23962665174724,88.56
27.06,27.388412834724576,27.72
27.38,27.703254112378257,21.53
28.25,28.573254112378258,24.34
28.06,28.389019743235906,33.25
126.35,126.93119022969424,36.93
33.67,34.04726896988679,25.11
31.25,31.60906171454683,0.71
29.58,29.929047724109854,0.0
28.59,28.92994409643988,0.0
27.68,28.015999191116222,0.0
27.6,27.94297863899654,0.0
30.7,31.368585055326015,0.16
26.91,27.249640642184215,0.11
26.85,27.1835715570709,0.0
28.1,28.441764821973877,0.0
126.48,127.1070118222998,3.04
31.34,31.670233560258573,18.21
28.86,29.182950658122593,14.25
29.68,30.00537829216792,8.08
27.69,28.01325411237826,2.48
27.14,27.457488481520606,2.2
25.74,26.055364301730943,0.0
25.3,25.615364301730946,0.0
25.14,25.45597121024228,0.0
25.02,25.33566775598661,0.0
25.33,25.64475739321961,0.16
25.91,26.22566775598661,0.0
26.96,27.285074837912255,0.25
36.11,36.46906171454683,0.59
30.43,30.79331007412615,4.81
31.08,31.45362751881879,0.11
30.71,31.08302061030746,0.0
33.28,33.67547622522674,0.0
31.15,31.53910368585775,0.0
29.0,29.36634461668281,0.0
26.32,26.653571557070897,0.0
26.35,26.694192456019202,0.0
27.73,28.080261541132522,0.0
27.21,27.53962665174724,0.01
31.45,31.796923544320194,10.32
27.68,28.012357740048234,21.53
30.5,30.88788986883509,27.54
27.16,27.48750247195758,31.77
26.09,26.418109380468913,31.59
23.76,24.082343749611262,31.77
21.51,21.83598520067925,50.84
22.1,22.4211299325886,118.49
22.05,22.36506084747528,139.87
21.71,22.024757393219613,104.94
21.21,21.520812487895956,101.73
25.19,25.192502964139436,180.78
24.57,24.54853007794183,169.82
25.99,26.085663420628855,155.4
25.45,25.60605081750636,159.73
28.77,28.460855443570583,68.39
26.27,26.571405405970314,56.03
26.25,26.553833040015643,58.75
23.88,24.190205579384624,57.51
23.72,24.033543576196948,44.3
22.02,22.33809539003194,41.54
21.6,21.92082647833293,35.64
21.69,22.01295065812259,36.75
22.53,22.860233560258575,28.27
27.84,28.171447377281236,2.67
27.37,27.703571557070898,0.33
29.14,29.464771383656586,4.91
33.9,34.21779193577627,23.06
27.33,27.648702298543267,66.66
24.43,24.7502195698216,115.69
22.85,23.16870229854327,109.43
23.12,23.427474491083633,87.6
25.44,25.781764821973876,88.56
25.36,25.405593468443985,117.79
26.68,26.679164967327107,99.8
26.07,26.070075330094106,181.64
27.42,27.381536639624542,185.16
67.31,64.62602243872949,198.6
31.3,30.69013227620571,198.42
23.88,24.156218702750046,193.5
30.0,30.2819843336077,145.13
27.01,27.30746050064666,124.8
21.2,21.51050903364029,135.67
19.52,19.830812487895955,162.61
19.61,19.91990212512896,175.3
18.95,19.261722850662952,183.96
18.34,18.653240121941284,193.24
19.18,19.488688308106294,196.15
19.22,19.525957219805303,197.61
14.93,14.527694987081162,198.6
17.49,17.77259124211903,198.6
17.61,17.898963781488014,198.6
19.32,19.266667381096912,198.6
12.43,12.218264259639328,198.6
7.33,6.223074205425014,198.6
24.06,23.989370488523956,197.59
22.19,22.30235340469048,198.6
33.48,30.857927106885324,196.75
