HubPrices,NodePrices,WindPower
23.19,25.153490723274558,18.21
25.22,27.230189813682642,24.6
24.25,26.280203709571822,10.13
24.37,26.391308644732185,5.56
23.56,25.603546306831273,7.89
23.39,25.397966047472735,15.91
23.67,25.64683332053401,8.08
23.86,25.839057086743917,5.28
24.28,26.261280852953828,10.41
25.11,27.073490723274556,11.94
25.81,27.760148126015103,17.57
25.87,27.817924359805197,27.54
26.4,28.334581762545742,34.17
26.25,28.177910463916017,44.3
25.69,27.591225269397114,16.16
25.15,27.075686697706107,3.69
24.97,26.90680552875565,5.09
26.31,28.23123916528629,3.88
30.78,32.64786877624848,0.5
27.92,29.839015399076384,6.12
28.92,30.823449035607023,3.04
26.99,28.9134629314962,0.58
25.17,27.120148126015106,4.16
25.01,26.946805528755654,7.14
23.64,25.590148126015105,0.35
24.33,26.10447059543231,5.47
22.99,24.955714489484464,0.44
22.62,24.5946095543241,0.0
22.91,24.882385788114192,0.0
24.06,26.007924359805195,12.07
39.42,35.78627117293418,7.89
25.1,27.02791046391602,0.89
25.1,27.034581762545745,13.35
26.78,28.7034629314962,0.12
27.22,29.145686697706108,0.0
28.11,30.035686697706108,0.24
27.9,29.834581762545742,0.0
27.17,29.11125306117547,0.0
26.87,28.81347682738538,0.0
26.9,28.847924359805194,0.0
26.95,28.895700593595286,0.0
27.51,29.440134230125928,0.0
28.13,30.13574228126282,0.0
28.09,30.124651241991636,0.0
27.17,29.18018981368264,10.69
28.19,30.444804096772607,5.47
25.34,27.359084878522278,0.0
24.88,26.905756177152,0.0
22.81,24.851322540621364,0.0
26.06,28.646145262049014,0.27
22.28,24.325770073041184,4.07
22.38,24.42799383925109,0.19
22.88,24.865728385373643,17.44
23.02,25.061322540621365,11.82
23.84,25.845742281262822,0.49
24.37,26.340162021904284,3.6
25.3,27.35244137167091,1.55
26.47,28.511322540621364,0.54
26.0,27.93902929496556,13.86
25.14,27.092371892225014,11.18
24.01,25.984609554324102,17.44
23.59,25.52902929496556,12.46
23.74,25.76797994336191,19.61
22.93,24.942413579892552,17.44
23.09,25.03347682738538,24.21
26.28,26.940363724268018,30.12
26.67,26.796659833889912,48.37
30.75,26.37130949261474,76.04
29.71,26.732282204857267,184.89
25.14,23.180767128995484,198.6
20.99,22.015061382693055,198.6
19.83,19.698702953540494,198.6
23.32,18.89016286978684,198.6
22.61,20.02588882401112,198.6
20.69,20.7121428220242,198.6
22.11,21.02693101569954,198.32
35.57,26.823832656353915,197.97
23.03,23.129974639371007,160.3
24.37,24.272059446689127,153.96
25.08,25.346757105114165,197.8
25.8,26.209078142548325,196.85
27.67,29.457813192691766,103.65
25.28,27.14786877624848,74.43
31.36,33.198959815519665,51.09
29.0,30.93902929496556,22.68
27.65,29.597924359805194,10.97
26.64,28.592371892225014,2.01
26.61,28.56904319085474,0.4
26.21,28.16904319085474,0.25
26.28,28.250162021904284,0.08
44.63,46.406694361642224,0.35
29.88,31.763435139717842,14.37
30.6,32.43895981551967,68.88
28.59,30.42228851688994,83.75
36.93,29.026640049909336,17.57
26.5,27.129230997329294,37.3
26.38,26.79352567496814,49.36
25.75,26.612726449369713,90.81
25.09,26.33966176989384,99.8
25.99,26.345707753510514,72.83
26.25,26.312170613802557,52.32
26.04,27.523157221934262,76.36
21.99,23.882330204557476,190.85
28.6,30.40115578995122,196.94
24.15,25.948932023741307,155.98
24.18,25.894428907764777,131.81
22.57,24.408959815519665,198.6
21.54,23.356722153420577,198.6
20.28,22.181225269397114,198.6
19.94,21.84789656802684,198.6
20.27,22.17344903560702,198.6
19.75,21.682357996335835,198.6
19.63,21.575700593595286,197.77
23.1,25.021239165286293,198.6
24.65,26.531211373507933,198.6
24.53,26.384526178989027,198.6
24.37,26.224526178989027,198.6
24.69,26.57788267213766,193.9
23.73,25.63567280181693,144.43
21.94,23.910162021904284,112.18
20.9,22.879057086743916,97.87
22.55,24.520162021904284,142.33
22.54,24.454567866656564,128.31
44.41,26.566405091617124,118.84
21.84,21.728716849429674,127.61
23.55,23.778953079545715,126.56
23.56,23.786729313335805,196.15
26.37,28.20228851688994,194.03
24.67,26.4155616347035,145.48
24.5,26.419015399076383,88.88
22.29,24.26683332053401,94.66
23.65,25.62016202190428,106.22
25.12,27.11239968400337,28.83
24.94,26.99466513788082,18.85
23.68,25.736888904090726,14.88
23.63,25.671322540621365,5.37
23.81,25.849098774411456,6.03
24.13,26.155756177152,0.59
27.25,29.257966047472735,0.25
27.44,29.516902799979906,9.57
26.9,28.87238578811419,5.0
26.97,28.922371892225012,0.0
23.71,25.675714489484466,0.18
21.93,23.891266957064648,26.8
20.56,22.507924359805195,14.88
41.88,24.89922638106173,155.69
23.45,21.71536751619627,180.49
21.19,20.705124126165,187.28
23.56,21.56963440205676,198.48
16.41,14.477452323514388,197.4
25.65,23.399453755497433,198.6
32.38,32.28873074531885,198.6
20.71,22.495589426481857,198.6
21.01,22.815603322371036,198.6
14.11,15.946736049309756,198.6
8.09,7.329377116136311,198.6
23.4,23.07523529327843,198.6
22.62,22.693289444852102,194.03
22.61,24.511225269397112,174.43
23.97,25.886791632866473,106.86
22.26,24.310217605461002,79.25
25.83,27.871322540621364,34.91
625.85,623.9952841408613,17.7
33.88,35.810134230125925,7.89
37.23,39.10676384108811,0.47
30.51,32.564665137880816,0.32
30.1,32.0723857881142,0.28
18.44,20.728160589921238,14.25
26.92,22.897112086200146,54.55
24.57,24.17629854077126,134.97
39.63,25.1509633672091,184.76
31.42,23.73012160606058,174.14
24.94,24.568536202870348,190.85
23.56,23.30639581199551,194.3
