HubPrices,NodePrices,WindPower
23.19,23.55162882895909,18.21
25.22,25.668291692645848,24.6
24.25,24.71434037110636,10.13
24.37,24.840759842490566,5.56
23.56,24.06285719941159,7.89
23.39,23.82866248556954,15.91
23.67,24.050887243111703,8.08
23.86,24.26335539295642,5.28
24.28,24.68014565726432,10.41
25.11,25.510145657264317,11.94
25.81,26.21335539295642,17.57
25.87,26.26051645018801,27.54
26.4,26.784096978803802,34.17
26.25,26.60841909326699,44.3
25.69,25.990643850809146,16.16
25.15,25.476321736345962,3.69
24.97,25.312370414806473,5.09
26.31,26.678048300343292,3.88
30.78,31.122370414806475,0.5
27.92,28.32656512864852,6.12
28.92,29.30730671449591,3.04
26.99,27.386935921572213,0.58
25.17,25.57656512864852,4.16
25.01,25.365209357574887,7.14
23.64,23.995209357574886,0.35
24.33,25.214815746771755,5.47
22.99,23.35804830034329,0.44
22.62,22.9944677717275,0.0
22.91,23.281258036035396,0.0
24.06,24.39595094342227,12.07
39.42,57.20728390138227,7.89
25.1,25.458419093266986,0.89
25.1,25.477677507419603,13.35
26.78,27.164096978803805,0.12
27.22,27.62656512864852,0.0
28.11,28.53261380710903,0.24
27.9,28.33545274987744,0.0
27.17,27.608662485569543,0.0
26.87,27.30224301418534,0.0
26.9,27.325823542801132,0.0
26.95,27.37261380710903,0.0
27.51,27.939033278493238,0.0
28.13,28.684212970485223,0.0
28.09,28.679520063098348,0.0
27.17,27.695325349256304,10.69
28.19,29.11975204646119,5.47
25.34,25.83322799233528,0.0
24.88,25.376437728027383,0.0
22.81,23.306437728027383,0.0
26.06,27.46158319320022,0.27
22.28,22.766808520951077,4.07
22.38,22.866808520951075,0.19
22.88,23.260887243111704,17.44
23.02,23.500389049566873,11.82
23.84,24.285081956953746,0.49
24.37,24.763726185880113,3.6
25.3,25.854212970485225,1.55
26.47,27.024212970485223,0.54
26.0,26.409774864340623,13.86
25.14,25.549774864340623,11.18
24.01,24.403726185880114,17.44
23.59,23.916321736345964,12.46
23.74,24.178662485569543,19.61
22.93,23.355823542801133,17.44
23.09,23.390643850809145,24.21
26.28,27.161606011079655,30.12
26.67,27.744190152605793,48.37
30.75,34.07742460846158,76.04
29.71,32.23499068543602,184.89
25.14,27.084028525165504,198.6
20.99,18.607304812211655,198.6
19.83,20.82073702461113,198.6
23.32,26.65063434415368,198.6
22.61,21.0008511140083,198.6
20.69,21.626171517845396,198.6
22.11,23.498744250431812,198.32
35.57,40.78474919541771,197.97
23.03,23.885928125542836,160.3
24.37,25.32863966769011,153.96
25.08,25.887782090161302,197.8
25.8,26.556426319087667,196.85
27.67,27.81978627328034,103.65
25.28,25.503610194198693,74.43
31.36,31.53867389450926,51.09
29.0,29.313482793577556,22.68
27.65,27.97311200065386,10.97
26.64,27.00162882895909,2.01
26.61,26.968419093266988,0.4
26.21,26.55878988619068,0.25
26.28,26.673726185880113,0.08
44.63,44.87928807973551,0.35
29.88,30.193482793577555,14.37
30.6,30.80435178004608,68.88
28.59,28.707688916359317,83.75
36.93,42.06129606742305,17.57
26.5,27.298152883084995,37.3
26.38,27.21666971139022,49.36
25.75,26.329890856022043,90.81
25.09,25.4676775074196,99.8
25.99,26.813830768621813,72.83
26.25,27.199010460613803,52.32
26.04,26.199415480356645,76.36
21.99,22.05633314528568,190.85
28.6,28.557202131754206,196.94
24.15,24.043007417912158,155.98
24.18,23.951037461612273,131.81
22.57,22.424490589606933,198.6
21.54,21.355973761301705,198.6
20.28,20.23078266037,198.6
19.94,19.893992396062103,198.6
20.27,20.198314510525282,198.6
19.75,19.697572924677896,198.6
19.63,19.62571896005943,197.77
23.1,23.079670281598922,198.6
24.65,24.610411867446306,198.6
24.53,24.387700325299036,198.6
24.37,24.211651646838522,198.6
24.69,24.660041074522614,193.9
23.73,23.854108387743523,144.43
21.94,22.21817570096443,112.18
20.9,21.18138543665653,97.87
22.55,22.792868608351306,142.33
22.54,22.670527859127727,128.31
44.41,56.804927938650465,118.84
21.84,23.05541852305829,127.61
23.55,24.582463588608462,126.56
23.56,24.59246358860846,196.15
26.37,26.372138431443638,194.03
24.67,24.62078266037,145.48
24.5,24.688303101585568,88.88
22.29,22.552127022503917,94.66
23.65,23.98595094342227,106.22
25.12,25.58434037110636,28.83
24.94,25.507051913253633,18.85
23.68,24.23100323479312,14.88
23.63,24.152115613564202,5.37
23.81,24.34495455633261,6.03
24.13,24.658535084948408,0.59
27.25,27.80100323479312,0.25
27.44,28.11297319109301,9.57
26.9,27.390018256643177,5.0
26.97,27.42150142833795,0.0
23.71,24.135823542801134,0.18
21.93,22.285209357574885,26.8
20.56,20.860643850809144,14.88
41.88,51.73602700619758,155.69
23.45,25.40044799654971,180.49
21.19,22.38936984459778,187.28
23.56,25.446253282707662,198.48
16.41,18.53056398823113,197.4
25.65,24.96204525764165,198.6
32.38,32.40139684559625,198.6
20.71,20.44894010469125,198.6
21.01,20.793876404380683,198.6
14.11,13.983749003759545,198.6
8.09,9.892800154713004,198.6
23.4,24.060134248324598,198.6
22.62,23.527283896616474,194.03
22.61,22.685962352361987,174.43
23.97,24.11015706620403,106.86
22.26,22.782115613564205,79.25
25.83,26.368164292024712,34.91
625.85,626.051142044354,17.7
33.88,34.334711164030054,7.89
37.23,37.716808520951076,0.47
30.51,31.288894468932384,0.32
30.1,30.641374027716818,0.28
18.44,19.35370336800068,14.25
26.92,41.29212512498547,54.55
24.57,25.807886672903006,134.97
39.63,48.16682563674355,184.76
31.42,36.28167826928646,174.14
24.94,25.423598785258974,190.85
23.56,24.438396275387554,194.3
28.9,29.290516450188008,196.69
32.42,34.03663548457107,192.18
33.57,37.31469024843487,198.6
25.89,25.638569311767558,198.6
25.16,25.999879447082325,198.6
25.21,24.839809091159772,198.6
25.9,26.04978627328034,193.37
23.13,23.231640237898805,156.84
25.28,25.506819929890796,66.66
23.68,23.990273057885453,39.14
25.22,25.56878988619068,40.07
25.65,25.94743411511704,37.3
24.95,24.595857769620284,62.21
24.54,24.46510477483318,41.91
26.57,27.236553719708805,1.92
59.9,72.09913406143224,184.63
37.32,43.07719452738299,188.47
41.26,50.09854079180116,197.61
31.0,35.41873474377635,197.35
37.56,45.99732383028838,196.8
20.88,22.32330975719755,196.42
20.1,21.235175130755735,193.5
23.51,26.4394173826409,172.99
19.3,19.356703938209375,144.43
22.77,22.93583495174085,114.99
25.43,25.669658872659202,99.8
25.65,25.918546493888122,105.58
26.31,26.60743411511704,170.11
23.57,23.931628828959088,170.11
24.02,24.362370414806474,65.91
24.33,24.775081956953745,25.88
23.81,24.325696142179996,8.45
23.96,24.46606693510369,0.61
24.75,25.416553719708805,0.56
24.49,24.99927667079579,0.0
25.07,25.67235900586676,0.0
30.81,31.470134248324598,0.0
27.65,28.265197948635166,0.0
27.13,27.716310327406248,0.11
27.73,28.271374027716817,0.55
27.59,28.08322799233528,10.04
25.32,25.729774864340623,32.7
23.07,23.280771251430284,124.45
23.13,22.88819851884386,183.43
32.16,36.47923293732118,197.61
31.46,35.695779809326524,196.83
26.21,27.601953986123917,189.53
21.82,21.581408254535965,190.06
40.22,48.127717441091505,186.61
25.36,25.97840768432727,153.67
24.93,25.64790949078244,162.32
24.8,25.498651076629827,184.1
21.75,22.29779349910102,192.31
24.97,26.066658302450506,196.76
21.75,21.931883630201362,196.28
19.81,20.194096978803803,198.6
20.98,21.96752728891903,198.6
20.98,21.845557332619144,198.6
19.13,19.103250810214714,198.06
19.46,19.035243584394035,193.11
21.96,21.506355963165117,198.6
21.01,20.880539268067444,198.6
21.31,21.113134818533293,197.71
20.85,20.720539268067444,198.55
19.69,19.65683133883051,197.97
18.71,18.696089752983124,191.91
24.48,26.65833923068897,195.36
19.83,19.7839923960621,197.61
20.93,20.919299488675225,195.62
21.37,21.356089752983124,198.16
21.11,21.153864995440966,196.85
21.06,21.107074731133068,185.16
21.95,21.981026052672554,151.07
24.04,24.032509224367328,122.0
24.7,24.76312340959358,125.85
24.69,24.785220766514602,133.21
26.56,26.703366801896134,109.43
26.52,26.730771251430284,66.41
28.17,28.461014643732838,47.38
29.82,30.136692529269656,24.47
27.84,28.137434115117042,6.77
28.23,28.543482793577557,0.53
29.31,29.629902264961757,0.16
28.29,28.677306714495906,0.0
28.63,29.059033278493235,0.0
27.82,28.274711164030055,0.0
27.77,28.182984600032725,0.28
26.93,27.310887243111704,8.26
26.02,26.47150142833795,24.34
49.36,85.75412170849907,40.43
23.57,26.627806810324987,91.77
29.1,32.57828218599039,142.33
29.31,33.18949914750317,154.25
36.73,43.774298539915996,151.36
24.08,26.245500287920557,187.94
28.68,31.490657162033116,185.02
21.53,21.474363188985794,187.81
27.44,27.127584333617616,176.45
25.07,24.92128085391483,158.0
24.48,23.926854156709943,167.8
24.51,24.287456932996477,170.4
28.61,28.753366801896135,153.09
26.14,26.257688916359317,149.63
26.13,26.2252207665146,145.13
26.04,26.154479180667213,127.96
26.8,27.001142044353976,59.49
26.41,26.851872221261644,52.82
29.94,30.635441340937724,65.42
35.05,35.90913786123494,95.3
125.25,129.07493364073744,72.34
28.04,28.424096978803803,77.0
27.05,27.462984600032726,73.33
27.55,28.011130635414258,56.28
26.4,26.82261380710903,57.02
25.99,26.444711164030053,41.36
26.85,27.336808520951077,72.34
26.91,27.396808520951076,88.56
27.06,27.53717931387477,27.72
27.38,27.866808520951075,21.53
28.25,28.691872221261644,24.34
28.06,28.5789058778721,33.25
126.35,129.44632363863022,36.93
33.67,34.50987944708233,25.11
31.25,32.09629891846653,0.71
29.58,30.330006847703462,0.0
28.59,29.240505041248294,0.0
27.68,28.28877847725096,0.0
27.6,28.256924512632498,0.0
30.7,34.18791139306669,0.16
26.91,27.550875834171986,0.11
26.85,27.46519794863517,0.0
28.1,28.811490019398235,0.0
126.48,130.6644240382529,3.04
31.34,32.01297319109301,18.21
28.86,29.45272979879045,14.25
29.68,30.29840768432727,8.08
27.69,28.244212970485226,2.48
27.14,27.623598785258974,2.2
25.74,26.188291692645848,0.0
25.3,25.729033278493237,0.0
25.14,25.569033278493237,0.0
