HubPrices,NodePrices,WindPower
23.19,22.79,18.21
25.22,25.06,24.6
24.25,24.12,10.13
24.37,24.29,5.56
23.56,23.55,7.89
23.39,23.21,15.91
23.67,23.27,8.08
23.86,23.53,5.28
24.28,23.93,10.41
25.11,24.77,11.94
25.81,25.54,17.57
25.87,25.57,27.54
26.4,26.05,34.17
26.25,25.85,44.3
25.69,25.15,16.16
25.15,24.66,3.69
24.97,24.52,5.09
26.31,26.02,3.88
30.78,30.47,0.5
27.92,27.76,6.12
28.92,28.7,3.04
26.99,26.78,0.58
25.17,24.99,4.16
25.01,24.67,7.14
23.64,23.3,0.35
24.33,26.82,5.47
22.99,22.69,0.44
22.62,22.32,0.0
22.91,22.59,0.0
24.06,23.67,12.07
39.42,130.23,7.89
25.1,24.75,0.89
25.1,24.81,13.35
26.78,26.51,0.12
27.22,27.03,0.0
28.11,27.98,0.24
27.9,27.79,0.0
27.17,27.07,0.0
26.87,26.75,0.0
26.9,26.78,0.0
26.95,26.83,0.0
27.51,27.4,0.0
28.13,28.38,0.0
28.09,28.45,0.0
27.17,27.36,10.69
28.19,29.49,5.47
25.34,25.42,0.0
24.88,24.98,0.0
22.81,22.88,0.0
26.06,28.65,0.27
22.28,22.29,4.07
22.38,22.42,0.19
22.88,22.66,17.44
23.02,23.04,11.82
23.84,23.77,0.49
24.37,24.16,3.6
25.3,25.55,1.55
26.47,26.75,0.54
26.0,25.85,13.86
25.14,24.97,11.18
24.01,23.72,17.44
23.59,23.1,12.46
23.74,23.59,19.61
22.93,22.7,17.44
23.09,22.49,24.21
26.28,37.93,30.12
26.67,43.07,48.37
30.75,91.8,76.04
29.71,76.54,184.89
25.14,61.52,198.6
20.99,8.39,198.6
19.83,38.22,198.6
23.32,85.58,198.6
22.61,38.42,198.6
20.69,37.72,198.6
22.11,49.36,198.32
35.57,138.55,197.97
23.03,38.57,160.3
24.37,41.71,153.96
25.08,38.81,197.8
25.8,37.92,196.85
27.67,26.15,103.65
25.28,24.17,74.43
31.36,30.22,51.09
29.0,28.25,22.68
27.65,26.98,10.97
26.64,26.13,2.01
26.61,26.07,0.4
26.21,25.65,0.25
26.28,25.79,0.08
44.63,43.53,0.35
29.88,29.14,14.37
30.6,29.62,68.88
28.59,27.34,83.75
36.93,133.1,17.57
26.5,37.81,37.3
26.38,39.55,49.36
25.75,34.3,90.81
25.09,29.62,99.8
25.99,39.45,72.83
26.25,42.49,52.32
26.04,27.62,76.36
21.99,20.41,190.85
28.6,26.72,196.94
24.15,22.03,155.98
24.18,21.74,131.81
22.57,20.59,198.6
21.54,19.39,198.6
20.28,18.58,198.6
19.94,18.18,198.6
20.27,18.45,198.6
19.75,17.99,198.6
19.63,18.0,197.77
23.1,21.3,198.6
24.65,23.01,198.6
24.53,22.43,198.6
