hedgetargets,DeveloperProfits,ratio,,,,,
"[156.02475914922277, 155.78038276677208, 95.45411389289595, 194.02574912599195, 63.18668294949205, 183.6876277005384, 92.44572076323807, 209.66373505657933, 134.09433877744675, 163.23730872114305, 118.83262831020375, 191.50574302979496, 157.27063551250097, 184.69213318875043, 124.49534176660634, 176.67078449021963, 158.05059946218404, 244.60687837866251, 96.47250771331036, 227.3069608962438, 109.33564527892726, 169.57080259546441, 154.30978364204466, 226.97497807585475]",-43596884.31,2.982550206,,,,-2954626.19,1.15
"[156.02475914922277, 155.7807354155255, 95.45411389289595, 194.02574912599195, 63.18668294949205, 183.6876277005384, 92.44572076323807, 209.66373505657933, 131.49346949179474, 163.23730872114305, 118.83262831020375, 191.50574302979496, 157.27063551250097, 184.69213318875043, 124.49534176660634, 147.1384665231817, 158.05059946218404, 244.54923831435292, 96.47235809006831, 227.3069608962438, 109.33564527892726, 169.57080259546441, 154.30978364204466, 211.85186475572158]",-42196653.14,2.978420475,,,,,
"[169.7316648051718, 155.7730638285179, 95.45411389289595, 194.02574912599195, 75.89601898318288, 146.18688519566595, 92.44572076323807, 209.66373505657933, 131.4385557901364, 163.23730872114305, 108.36496705088295, 188.97944463645968, 136.59273653967944, 182.52371750187604, 124.49534176660634, 147.19655606352902, 141.39942201347682, 241.46025320898454, 96.46510030337416, 227.3069608962438, 128.01132725541407, 169.68574091596486, 154.30978364204466, 225.94085652555844]",-41494499.07,2.959997339,,,,,
"[156.02475914922277, 155.7730638285179, 98.40190835566415, 164.58105443122457, 72.94921983486687, 146.18688519566595, 92.49484799150768, 204.96882035222245, 131.4385557901364, 154.83995074011855, 113.55734957809538, 191.50574302979496, 151.8611029906204, 184.69213318875043, 116.00412699776076, 162.65641096893992, 135.91876044597026, 241.46025320898454, 96.47250771331036, 203.45185838702588, 129.50964923804514, 192.0433045375926, 152.32268108871162, 206.13658864087554]",-40191932.89,2.955743812,,,,,
"[156.02475914922277, 130.09260223133657, 98.40190835566415, 164.58105443122457, 70.72526270579377, 146.18688519566595, 92.49484799150768, 204.96882035222245, 131.4385557901364, 154.83995074011855, 113.55734957809538, 191.50574302979496, 151.8611029906204, 184.69213318875043, 116.00412699776076, 162.65641096893992, 135.92056551279924, 241.46025320898454, 96.47250771331036, 203.45185838702588, 156.2264136869271, 192.0433045375926, 152.32268108871162, 206.13658864087554]",-39610716.25,2.944268928,,,,,
"[156.02475914922277, 130.99828353145926, 95.45367881321815, 165.40660843186677, 70.72526270579377, 146.18688519566595, 92.49484799150768, 204.96882035222245, 131.4385557901364, 125.32632510578208, 110.57029817002639, 191.50574302979496, 152.94356139651686, 184.69213318875043, 116.00412699776076, 163.70904530374557, 135.92056551279924, 237.99464603170614, 96.47250771331036, 203.45185838702588, 156.2264136869271, 192.0433045375926, 152.32268108871162, 208.7825631412002]",-38969199.53,2.931317731,,,,,
"[156.02475914922277, 155.6436177358237, 98.40190835566415, 164.58105443122457, 70.72526270579377, 146.18688519566595, 92.49484799150768, 204.96882035222245, 122.88276668013668, 116.68440843604374, 113.55734957809538, 191.30426566614932, 151.8611029906204, 170.81613180320082, 116.00412699776076, 162.65641096893992, 135.49453601046775, 240.664876158297, 96.41539635162701, 203.45185838702588, 129.50964923804514, 192.0433045375926, 152.32268108871162, 206.13658864087554]",-38801674.11,2.92324541,,,,,
"[156.02475914922277, 130.09260223133657, 98.40190835566415, 164.58105443122457, 70.72526270579377, 146.18688519566595, 92.49484799150768, 204.96882035222245, 131.4385557901364, 102.6944475883918, 113.55734957809538, 191.50574302979496, 151.8611029906204, 184.69213318875043, 116.00412699776076, 162.65641096893992, 135.92056551279924, 241.46025320898454, 96.47250771331036, 203.45185838702588, 156.2264136869271, 174.98321726996386, 152.32268108871162, 206.13658864087554]",-38202416.16,2.90932676,,,,,
"[156.02475914922277, 116.18834191258213, 98.40190835566415, 164.58105443122457, 70.72526270579377, 146.18688519566595, 92.19872531278328, 204.96882035222245, 122.88276668013668, 116.68440843604374, 113.55734957809538, 191.30426566614932, 151.8611029906204, 170.81613180320082, 116.00412699776076, 162.65641096893992, 137.25037922783383, 240.664876158297, 96.41539635162701, 203.45185838702588, 129.50964923804514, 205.85296163332282, 152.32268108871162, 206.13658864087554]",-38038268.66,2.896648038,,,,,
"[102.73215135350912, 156.0010259343767, 93.73320670844805, 162.0479815764535, 82.44421372694379, 148.16707492463064, 92.28271963305346, 171.659086143272, 117.02243427278232, 124.45089000170124, 116.64208964935246, 190.7139438975302, 142.76839353347597, 175.91228895284763, 123.65061701203882, 149.16116392065527, 135.80349741559982, 231.6897259650194, 96.47250771331036, 203.5415611672892, 122.07426678466962, 178.34877007040072, 152.329753398992, 225.55291208379973]",-37518992.98,2.894114775,,,,,
"[107.45452569174742, 152.48434068835283, 98.95468412420004, 163.43119136853835, 83.6192340713416, 145.85013567581805, 81.27214704250919, 200.8506202406868, 84.03184958309717, 118.14968767540783, 108.36515376451621, 214.24901929135115, 127.34881049900036, 181.4172895001664, 120.5793757425882, 148.30732389726123, 137.47734574821047, 203.86021526820397, 96.60499256310986, 199.6374911477735, 128.17828577662732, 178.45245708187613, 144.52153336544592, 196.98499260892956]",-36533631.03,2.875248794,,,,,
"[107.45452569174742, 146.10975869110797, 98.95468412420004, 163.43119136853835, 83.6192340713416, 145.85013567581805, 81.27214704250919, 200.8506202406868, 84.03184958309717, 118.14968767540783, 108.36515376451621, 214.24901929135115, 127.34881049900036, 181.4172895001664, 120.5793757425882, 148.30732389726123, 137.47734574821047, 203.86021526820397, 96.60499256310986, 199.6374911477735, 128.17828577662732, 178.45245708187613, 144.52153336544592, 196.98499260892956]",-36369543.69,2.87269079,,,,,
"[107.45452569174742, 145.61288665275026, 98.95856564361279, 163.43119136853835, 83.6192340713416, 116.08867430850817, 81.27214704250919, 200.8506202406868, 85.54472351739555, 118.14968767540783, 108.36515376451621, 214.24901929135115, 127.34881049900036, 181.4172895001664, 111.16857854736762, 148.30732389726123, 137.47734574821047, 203.86021526820397, 96.60499256310986, 199.6374911477735, 128.17828577662732, 178.45245708187613, 144.52153336544592, 196.98499260892956]",-35687764.01,2.849169324,,,,,
"[107.45452569174742, 145.67691561069, 106.41854280584141, 135.54295348907408, 83.02422395981715, 111.2848930033446, 81.15915729761282, 200.8506202406868, 90.19345291778669, 125.99603503204862, 107.8629065763595, 202.84778206894353, 130.34447782005589, 182.4486033286807, 111.16857854736762, 114.7220732289284, 141.2869401242047, 232.33458246149604, 96.62296818782649, 199.44727562234758, 128.17828577662732, 172.77289689185437, 138.45963389917355, 211.25951264394766]",-35102115.48,2.832838376,,,,,
"[107.45452569174742, 145.61288665275026, 106.41854280584141, 135.54295348907408, 89.5204154415613, 116.08867430850817, 81.27214704250919, 200.8506202406868, 90.19345291778669, 125.99603503204862, 108.36515376451621, 202.84778206894353, 109.51376344378681, 182.4486033286807, 111.17155838547495, 114.7220732289284, 141.2869401242047, 209.2329130613402, 96.62496570423554, 199.6374911477735, 138.6001863323493, 172.77289689185437, 144.34489227922595, 195.2201799145999]",-33896519.58,2.809255756,,,,,
"[107.45452569174742, 145.61288665275026, 106.41854280584141, 135.54295348907408, 83.02422395981715, 116.08867430850817, 81.27214704250919, 200.8506202406868, 90.19345291778669, 125.99603503204862, 108.36515376451621, 202.84778206894353, 109.2983538049445, 182.4486033286807, 111.16857854736762, 114.7220732289284, 141.2869401242047, 209.2329130613402, 96.62496570423554, 199.6374911477735, 128.17828577662732, 172.77289689185437, 144.34489227922595, 195.2201799145999]",-33831118.54,2.808841615,,,,,
