,0
0,23.1945
1,25.2242
2,24.2471
3,24.3654
4,23.5648
5,23.3891
6,23.6708
7,23.8613
8,24.2758
9,25.1055
10,25.8109
11,25.8722
12,26.4036
13,26.2465
14,25.6884
15,25.1533
16,24.9702
17,26.3118
18,30.7804
19,27.9169
20,28.9167
21,26.9941
22,25.1741
23,25.0062
24,23.6413
25,24.3349
26,22.9885
27,22.622
28,22.9105
29,24.0599
30,39.4244
31,25.096999999999998
32,25.0981
33,26.7779
34,27.223000000000003
35,28.1139
36,27.895
37,27.1718
38,26.8683
39,26.8952
40,26.9541
41,27.5071
42,28.1327
43,28.0942
44,27.17
45,28.1926
46,25.3407
47,24.8762
48,22.8133
49,26.0596
50,22.2823
51,22.3777
52,22.8772
53,23.0213
54,23.8374
55,24.373
56,25.2968
57,26.4686
58,25.9998
59,25.1424
60,24.0143
61,23.5858
62,23.736
63,22.9254
64,23.0935
65,26.2762
66,26.6727
67,30.746
68,29.7104
69,25.1414
70,20.9927
71,19.8296
72,23.3151
73,22.613000000000003
74,20.6922
75,22.1092
76,35.5728
77,23.0329
78,24.3724
79,25.0826
80,25.8012
81,27.6732
82,25.2837
83,31.3567
84,28.9963
85,27.6545
86,26.6391
87,26.6065
88,26.2112
89,26.2816
90,44.6309
91,29.8758
92,30.6043
93,28.586
94,36.9315
95,26.4973
96,26.3817
97,25.7485
98,25.0856
99,25.9942
100,26.2458
101,26.0437
102,21.9851
103,28.6021
104,24.151
105,24.1832
106,22.5719
107,21.5433
108,20.2787
109,19.9432
110,20.2693
111,19.7501
112,19.6286
113,23.0957
114,24.645
115,24.5338
116,24.3712
117,24.6862
118,23.7286
119,21.9352
120,20.8985
121,22.5519
122,22.54
123,44.4148
124,21.8411
125,23.5537
126,23.5565
127,26.3725
128,24.6665
129,24.4973
130,22.2929
131,23.6497
132,25.1171
133,24.9376
134,23.6838
135,23.6288
136,23.8124
137,24.1315
138,27.2461
139,27.4396
140,26.9014
141,26.9691
142,23.7146
143,21.9265
144,20.5567
145,41.8825
146,23.4478
147,21.189
148,23.5607
149,16.408
150,25.654
151,32.3762
152,20.7145
153,21.0107
154,14.1138
155,8.0941
156,23.3986
157,22.6196
158,22.6093
159,23.971
160,22.2603
161,25.831
162,625.8491
163,33.8804
164,37.2319
165,30.5116
166,30.0981
167,18.444000000000003
168,26.9213
169,24.5723
170,39.6272
171,31.416
172,24.939
173,23.5571
174,28.8969
175,32.4184
176,33.5654
177,25.8856
178,25.1633
179,25.2055
180,25.8971
181,23.1282
182,25.2824
183,23.6835
184,25.2202
185,25.6517
186,24.9472
187,24.5441
188,26.5687
189,59.9018
190,37.3219
191,41.2639
192,31.0018
193,37.5639
194,20.8822
195,20.1046
196,23.51
197,19.2952
198,22.768
199,25.4308
200,25.6478
201,26.3114
202,23.5686
203,24.0241
204,24.3329
205,23.8138
206,23.9553
207,24.7476
208,24.4868
209,25.0749
210,30.8111
211,27.6505
212,27.131999999999998
213,27.7302
214,27.5857
215,25.3171
216,23.0712
217,23.133000000000003
218,32.1637
219,31.46
220,26.2142
221,21.8221
222,40.216
223,25.3591
224,24.9341
225,24.8006
226,21.7527
227,24.9746
228,21.7485
229,19.8143
230,20.9815
231,20.9807
232,19.1344
233,19.4553
234,21.9571
235,21.0129
236,21.3098
237,20.8455
238,19.6927
239,18.7083
240,24.4784
241,19.8321
242,20.9334
243,21.3734
244,21.1059
245,21.0588
246,21.9457
247,24.0412
248,24.6974
249,24.6875
250,26.5623
251,26.5191
252,28.1718
253,29.8213
254,27.8437
255,28.2296
256,29.3068
257,28.2927
258,28.6275
259,27.8205
260,27.7713
261,26.9266
262,26.0234
263,49.3616
264,23.5723
265,29.1038
266,29.3119
267,36.7272
268,24.0783
269,28.6794
270,21.5291
271,27.4446
272,25.0718
273,24.4779
274,24.5074
275,28.6117
276,26.1446
277,26.1307
278,26.0389
279,26.7961
280,26.4096
281,29.9359
282,35.0505
283,125.2489
284,28.0361
285,27.0521
286,27.5522
287,26.4048
288,25.988000000000003
289,26.8488
290,26.9145
291,27.06
292,27.38
293,28.2461
294,28.061
295,126.3468
296,33.6708
297,31.2534
298,29.5838
299,28.5888
300,27.68
301,27.6008
302,30.6974
303,26.906
304,26.8456
305,28.0953
306,126.4801
307,31.3419
308,28.8609
309,29.6806
310,27.6855
311,27.1354
312,25.741
313,25.2953
314,25.1391
315,25.0241
316,25.3343
317,25.9105
318,26.9608
319,36.1127
320,30.4282
321,31.0769
322,30.7098
323,33.2827
324,31.1455
325,28.9958
326,26.3222
327,26.3508
328,27.7271
329,27.2092
330,31.4458
331,27.6766
332,30.4967
333,27.156999999999996
334,26.0947
335,23.758000000000003
336,21.5149
337,22.1015
338,22.0532
339,21.7119
340,21.2078
341,25.1903
342,24.5708
343,25.9899
344,25.4528
345,28.773000000000003
346,26.2693
347,26.2526
348,23.8847
349,23.7245
350,22.0185
351,21.6027
352,21.6938
353,22.5305
354,27.8427
355,27.369
356,29.1394
357,33.9008
358,27.3326
359,24.4267
360,22.8474
361,23.1152
362,25.4405
363,25.3602
364,26.680999999999997
365,26.0675
366,27.4209
367,67.3107
368,31.3022
369,23.8837
370,30.0026
371,27.0099
372,21.1985
373,19.5191
374,19.611
375,18.9529
376,18.3423
377,19.1789
378,19.2161
379,14.9348
380,17.4933
381,17.6139
382,19.317999999999998
383,12.4256
384,7.3276
385,24.0644
386,22.1897
387,33.4835
388,20.475
389,70.0916
390,29.5069
391,29.6936
392,30.2552
393,35.0849
394,32.1416
395,21.0685
396,18.7471
397,22.5483
398,19.3981
399,15.6598
400,16.5433
401,21.4371
402,271.0434
403,29.4879
404,30.7731
405,30.3675
406,25.5118
407,23.7167
408,23.4545
409,28.5539
410,22.6246
411,39.3245
412,32.8386
413,41.36600000000001
414,19.415
415,26.4569
416,28.3248
417,23.1449
418,20.0367
419,19.6897
420,19.6335
421,19.27
422,19.7792
423,19.7114
424,20.5737
425,21.2236
426,240.8144
427,23.5394
428,23.5332
429,24.0728
430,24.6112
431,24.1142
432,24.6945
433,21.8005
434,22.3415
435,22.4595
436,22.182
437,22.2437
438,21.8541
439,26.4662
440,24.9719
441,25.3511
442,25.5055
443,26.2211
444,25.3149
445,25.8289
446,24.206
447,23.2533
448,23.3524
449,23.5876
450,24.9477
451,25.1748
452,24.2458
453,23.819000000000003
454,33.8321
455,25.2567
456,20.8082
457,20.592
458,20.0928
459,20.1849
460,23.4346
461,29.5999
462,21.0817
463,22.7548
464,21.6556
465,23.4636
466,24.1382
467,23.3902
468,21.9548
469,21.9528
470,21.6694
471,21.3945
472,21.0167
473,21.7084
474,25.1014
475,25.3679
476,25.1682
477,24.572
478,23.6522
479,21.9198
480,21.0369
481,21.3109
482,21.4469
483,21.618000000000002
484,21.8921
485,22.8587
486,30.9902
487,25.5195
488,24.6733
489,26.1603
490,26.2007
491,25.3576
492,24.9741
493,23.7328
494,23.9897
495,24.8174
496,26.076
497,26.0316
498,79.6108
499,24.7977
500,26.3447
501,24.8349
502,22.445
503,22.0534
504,21.684
505,21.9532
506,22.0211
507,22.0171
508,22.6024
509,23.823
510,26.7728
511,123.6144
512,25.8681
513,24.5145
514,29.0288
515,27.119
516,26.1674
517,24.3108
518,24.9321
519,25.2489
520,33.5024
521,26.5257
522,27.3277
523,26.438000000000002
524,26.2424
525,26.0995
526,23.736
527,21.853
528,20.5428
529,21.7721
530,20.8927
531,21.6273
532,21.7424
533,23.3162
534,24.4876
535,500.0726
536,27.704
537,25.935
538,25.1538
539,25.7485
540,24.6601
541,23.5835
542,23.5345
543,21.0875
544,20.8528
545,20.6958
546,22.6877
547,20.3296
548,21.4315
549,27.1855
550,0.8087
551,0.3175
552,-2.463
553,22.1665
554,18.6835
555,17.2439
556,17.5115
557,24.9804
558,20.7388
559,21.6721
560,20.315
561,25.7149
562,663.5022
563,23.8733
564,21.64
565,20.9627
566,-27.9578
567,19.4717
568,19.6286
569,19.7285
570,21.357
571,16.9748
572,20.3822
573,18.9052
574,19.0676
575,17.297
576,5.987
577,17.1647
578,4.5002
579,4.5391
580,-31.5463
581,0.0195
582,4.9274
583,18.3566
584,16.7833
585,20.0987
586,19.112000000000002
587,19.3453
588,17.8036
589,17.644000000000002
590,14.2366
591,17.0817
592,16.8302
593,19.8114
594,29.3176
595,24.7117
596,28.2371
597,26.9783
598,25.0611
599,23.7819
600,21.9783
601,21.2085
602,20.1912
603,22.2032
604,42.9937
605,30.816999999999997
606,17.9553
607,59.1637
608,22.9906
609,22.2848
610,30.2302
611,25.6131
612,23.2336
613,20.516
614,21.6032
615,19.4657
616,20.5962
617,21.1113
618,24.6261
619,25.6758
620,28.4424
621,24.7469
622,23.9182
623,24.4558
624,23.9628
625,22.9192
626,22.204
627,22.1067
628,22.3741
629,23.0491
630,25.4839
631,240.4916
632,25.398000000000003
633,24.2851
634,25.392
635,25.7646
636,24.3433
637,23.0514
638,21.7205
639,20.9025
640,20.6637
641,21.0121
642,21.4374
643,18.6023
644,16.113
645,17.7824
646,-2.7004
647,-31.4258
648,-35.2919
649,15.4861
650,13.8271
651,14.3379
652,16.5312
653,18.9254
654,18.7556
655,39.1435
656,-0.8224
657,19.4524
658,26.2896
659,23.5251
660,46.1401
661,40.977
662,27.59
663,21.6245
664,23.9968
665,22.8614
666,38.9284
667,24.4137
668,23.6421
669,25.0692
670,39.6076
671,-1.7176
672,19.5094
673,13.0557
674,15.6541
675,10.7424
676,0.003
677,17.4603
678,26.212
679,22.0836
680,8.5774
681,39.546
682,20.7786
683,14.5223
684,19.2763
685,19.8689
686,20.0671
687,20.0576
688,19.8919
689,26.3338
690,51.794
691,30.4073
692,33.8615
693,57.4803
694,27.0932
695,23.7877
696,21.9304
697,22.6655
698,23.1104
699,23.261999999999997
700,25.0236
701,25.3217
702,25.0873
703,29.7462
704,25.9773
705,24.9026
706,25.1528
707,24.2016
708,25.0909
709,25.0414
710,24.4585
711,23.6779
712,24.0014
713,24.2887
714,27.8656
715,25.000999999999998
716,26.3116
717,25.79
718,23.5878
719,21.8762
720,20.8729
721,19.926
722,21.2344
723,18.9922
724,18.6822
725,19.5112
726,20.3243
727,20.6435
728,19.4344
729,21.3124
730,21.4714
731,20.7924
732,18.7615
733,20.6008
734,21.0235
735,20.5364
736,20.747
737,21.6849
738,22.8326
739,22.5257
740,22.3676
741,22.2587
742,21.3913
743,20.4709
744,19.1043
745,21.0
746,19.7296
747,16.463
748,2.7969999999999997
749,14.0145
750,-7.4506
751,15.6787
752,20.6083
753,19.6861
754,18.4459
755,19.9582
756,22.4474
757,20.0401
758,20.4595
759,19.2386
760,19.015
761,20.1061
762,19.6872
763,21.4656
764,21.6099
765,22.2563
766,22.3945
767,21.2124
768,21.7867
769,23.0225
770,23.5729
771,25.694000000000003
772,25.3474
773,36.744
774,27.6157
775,358.9182
776,27.4711
777,28.078000000000003
778,25.9568
779,23.8655
780,23.3668
781,23.7304
782,22.4808
783,22.2523
784,21.8407
785,25.261
786,29.1047
787,23.5113
788,22.4
789,23.0624
790,21.1237
791,21.0004
792,20.3043
793,20.0962
794,20.102
795,21.0075
796,22.3282
797,23.1398
798,23.7491
799,28.1226
800,21.4782
801,22.4127
802,22.7993
803,22.4634
804,20.8272
805,20.2785
806,19.9227
807,20.2226
808,20.338
809,20.6819
810,32.2812
811,22.233
812,21.4359
813,20.6492
814,20.3641
815,19.5521
816,18.4186
817,19.0482
818,19.2837
819,19.2261
820,19.4284
821,20.3368
822,23.1912
823,665.7646
824,24.0013
825,27.8
826,25.746
827,21.8606
828,21.6042
829,21.2767
830,20.0107
831,21.7825
832,22.3247
833,27.5177
834,28.2502
835,25.7159
836,28.6134
837,25.4523
838,26.2095
839,22.4364
840,21.7025
841,21.4002
842,22.3706
843,22.2019
844,22.9186
845,25.5575
846,30.3232
847,34.7949
848,27.311
849,27.6844
850,27.3977
851,26.588
852,24.1378
853,24.9624
854,24.3703
855,23.6658
856,22.8892
857,23.2279
858,24.6572
859,22.7077
860,21.3982
861,22.7495
862,22.0378
863,18.4043
864,17.6726
865,19.0014
866,18.8407
867,18.9679
868,17.7865
869,19.4698
870,24.6907
871,22.1762
872,20.7707
873,21.4294
874,21.7571
875,22.4353
876,20.7553
877,20.4017
878,20.372
879,19.6794
880,19.1374
881,19.1364
882,19.1812
883,19.2254
884,18.7955
885,17.7339
886,21.7696
887,30.085
888,2.8884
889,16.4404
890,16.9745
891,17.608
892,20.0933
893,20.2966
894,20.6954
895,26.9962
896,22.5419
897,22.2874
898,23.3415
899,24.2137
900,21.7208
901,20.9212
902,19.9412
903,19.1158
904,18.908
905,19.1434
906,19.617
907,19.6009
908,18.1345
909,17.907
910,16.6682
911,16.4298
912,16.1744
913,19.2225
914,18.0214
915,6.4694
916,15.6831
917,-18.3937
918,15.7704
919,15.5126
920,16.779
921,17.8203
922,19.5787
923,19.1747
924,17.7975
925,18.5798
926,19.1704
927,19.4479
928,19.6436
929,20.8004
930,22.5881
931,168.1038
932,24.4843
933,24.3353
934,22.866999999999997
935,21.2573
936,20.7849
937,19.8035
938,19.8328
939,19.7589
940,20.0292
941,20.3001
942,21.4237
943,674.1619999999999
944,23.0912
945,23.5235
946,25.6326
947,25.2828
948,24.0197
949,23.3654
950,23.0246
951,22.4385
952,21.4841
953,20.465999999999998
954,20.9751
955,20.5179
956,17.5139
957,17.4142
958,2.5689
959,-0.4963
960,-31.013
961,15.0332
962,13.85
963,15.2231
964,15.4232
965,17.4235
966,19.7334
967,36.5831
968,22.3642
969,24.4875
970,24.3038
971,23.1586
972,22.4409
973,22.1525
974,21.6294
975,21.6586
976,21.8558
977,21.9075
978,21.93
979,21.9505
980,21.6778
981,21.2179
982,20.5245
983,18.1934
984,16.3996
985,19.8024
986,16.7133
987,7.0789
988,15.9089
989,-0.4527
990,46.7264
991,21.0593
992,19.4584
993,17.0219
994,18.8832
995,8.8298
996,18.0132
997,17.5275
998,16.0654
999,16.442999999999998
1000,19.132
1001,19.7239
1002,21.5947
1003,22.2396
1004,22.3595
1005,23.3337
1006,22.2077
1007,21.7722
1008,19.1304
1009,20.4267
1010,20.719
1011,21.1357
1012,21.3122
1013,21.4478
1014,21.4818
1015,22.2661
1016,23.5035
1017,23.9532
1018,24.8161
1019,27.1684
1020,24.8009
1021,23.1929
1022,22.3874
1023,20.4628
1024,20.8651
1025,21.3495
1026,22.3713
1027,22.2587
1028,21.058000000000003
1029,20.6359
1030,18.3384
1031,7.0739
1032,6.794
1033,19.1647
1034,17.5379
1035,17.1979
1036,17.7481
1037,19.4184
1038,21.9514
1039,27.9802
1040,23.0033
1041,32.2939
1042,26.3388
1043,25.1696
1044,23.166999999999998
1045,22.5171
1046,21.6151
1047,21.0598
1048,20.7441
1049,21.2923
1050,24.6256
1051,25.3881
1052,24.854
1053,24.7834
1054,24.2727
1055,21.596
1056,20.0951
1057,30.2797
1058,35.6074
1059,18.4316
1060,22.8894
1061,18.2426
1062,26.5102
1063,18.4933
1064,21.4475
1065,22.2586
1066,21.6628
1067,18.7954
1068,11.3994
1069,21.7898
1070,14.3358
1071,16.8403
1072,19.0518
1073,18.2781
1074,19.9359
1075,19.6332
1076,18.8446
1077,18.4674
1078,18.2648
1079,19.1953
1080,18.8798
1081,18.5957
1082,18.7629
1083,18.1709
1084,14.2938
1085,20.1116
1086,20.8199
1087,21.5003
1088,21.5501
1089,21.8785
1090,23.0434
1091,21.8681
1092,23.5479
1093,22.8744
1094,21.5639
1095,20.5752
1096,20.6498
1097,20.9513
1098,22.7896
1099,22.7798
1100,23.4574
1101,23.175
1102,22.7329
1103,21.6863
1104,18.2407
1105,22.0592
1106,22.3243
1107,23.1222
1108,22.932
1109,22.9877
1110,23.4861
1111,24.1181
1112,24.1553
1113,28.6592
1114,33.6837
1115,33.3975
1116,27.765
1117,26.7715
1118,25.235
1119,24.7748
1120,23.6258
1121,24.5289
1122,25.5996
1123,28.1731
1124,28.4886
1125,27.2213
1126,25.7207
1127,25.3236
1128,22.7707
1129,22.375999999999998
1130,22.3123
1131,22.3762
1132,22.0043
1133,22.5082
1134,21.9077
1135,31.4633
1136,25.0271
1137,26.6661
1138,31.7196
1139,25.4244
1140,28.3526
1141,33.7901
1142,18.9999
1143,33.7725
1144,17.2672
1145,18.8927
1146,20.4179
1147,26.0513
1148,24.1228
1149,26.9301
1150,25.7168
1151,22.7712
1152,22.3005
1153,22.0988
1154,21.4818
1155,21.1864
1156,21.5527
1157,23.1396
1158,26.9563
1159,27.570999999999998
1160,25.6695
1161,24.8138
1162,29.4408
1163,27.5898
1164,26.9558
1165,25.7644
1166,24.7169
1167,22.07
1168,24.4351
1169,25.6473
1170,26.7003
1171,26.8523
1172,24.9398
1173,24.6412
1174,23.6812
1175,22.8038
1176,22.4108
1177,22.0938
1178,23.0717
1179,30.0757
1180,20.9404
1181,22.4615
1182,23.5252
1183,25.6467
1184,21.1372
1185,22.9333
1186,19.6926
1187,20.7563
1188,20.3274
1189,19.8823
1190,20.84
1191,20.7918
1192,20.5743
1193,22.33
1194,25.8517
1195,22.2589
1196,19.6594
1197,21.4919
1198,20.2916
1199,18.9418
1200,17.9849
1201,13.5957
1202,20.2227
1203,18.0325
1204,19.9598
